vehicle_year_name,vehicle_style,site_rating,vehicle_price,vehicle_mileage,vehicle_location,vehicle_ext_color,vehicle_int_color,vehicle_accident_count,vehicle_title_type,vehicle_mpg,vehicle_transmission,vehicle_fuel_type,vehicle_options_level,vehicle_engine,vehicle_drive_type,vehicle_usage_type
2014 Acura RDX,FWD,Fair Price,"$18,590 ","52,017","Oklahoma City, OK",Forged Silver Metallic,Tan,0 reported accidents,Clean,20 cty / 28 hwy,Automatic,Gas,Standard,3.5L V-6 Gas,FWD,Personal or Rental Use
2019 Nissan Rogue,SV FWD,Fair Price,"$19,744 ","32,989","Joplin, MO",Scarlet Ember Tintcoat,Charcoal,0 reported accidents,Clean,26 cty / 33 hwy,Automatic,Gas,Standard,2.5L Inline-4 Gas,FWD,Personal or Rental Use
2019 Chevrolet Equinox,LS with 1LS FWD,Fair Price,"$17,681 ","30,760","Lewisville, TX",Mosaic Black Metallic,Medium Ash Gray,0 reported accidents,Clean,26 cty / 32 hwy,Automatic,Gas,Minimal Options,1.5L Inline-4 Gas Turbocharged,FWD,Personal or Rental Use
2018 Volkswagen Tiguan,SEL FWD,Fair Price,"$23,370 ","34,247","Garland, TX",Pure White,Titan Black,0 reported accidents,Clean,22 cty / 27 hwy,Automatic,Gas,Well Equipped,2.0L Inline-4 Gas Turbocharged,FWD,Personal or Rental Use
2017 INFINITI QX30,Sport FWD,Fair Price,"$22,490 ","24,680","Plano, TX",Magnetic Red,Black,0 reported accidents,Clean,24 cty / 33 hwy,Automatic,Gas,Standard,2.0L Inline-4 Gas Turbocharged,FWD,Personal or Rental Use
2017 Honda HR-V,EX FWD CVT,High Price,"$18,872 ","49,548","Oklahoma City, OK",Crystal Black Pearl,Black,0 reported accidents,Clean,28 cty / 34 hwy,Automatic,Gas,Standard,1.8L Inline-4 Gas,FWD,Personal or Rental Use
2019 Toyota C-HR,LE FWD,Fair Price,"$21,488 ","6,212","Wichita Falls, TX",Blizzard Pearl,Black,0 reported accidents,Clean,27 cty / 31 hwy,Automatic,Gas,Standard,2.0L Inline-4 Gas,FWD,Personal or Rental Use
2019 Chevrolet Trax,Premier AWD,Fair Price,"$21,380 ","10,799","Yukon, OK",Summit White,Jet Black,0 reported accidents,Clean,24 cty / 29 hwy,Automatic,Gas,Well Equipped,1.4L Inline-4 Gas Turbocharged,AWD,Personal or Rental Use
2014 Ford Escape,Titanium FWD,Fair Price,"$13,487 ","84,997","Arkansas City, KS",Ruby Red Tinted Clearcoat,Unknown,0 reported accidents,Clean,23 cty / 32 hwy,Automatic,Gas,NA,2.0L Inline-4 Gas Turbocharged,FWD,Personal or Rental Use
2017 Audi Q3,Premium Plus quattro,Fair Price,"$22,990 ","71,409","Oklahoma City, OK",Brilliant Black,Black,0 reported accidents,Clean,20 cty / 28 hwy,Automatic,Gas,Standard,2.0L Inline-4 Gas Turbocharged,AWD,Personal or Rental Use
2018 Jeep Cherokee,Latitude FWD,Fair Price,"$19,995 ","18,793","Springdale, AR",Diamond Black Crystal Pearlcoat,Black,0 reported accidents,Clean,21 cty / 30 hwy,Automatic,Gas,Well Equipped,2.4L Inline-4 Gas,FWD,Personal or Rental Use
2014 GMC Terrain,Denali FWD,Fair Price,"$18,990 ","42,555","Oklahoma City, OK",Summit White,Jet Black,0 reported accidents,Clean,22 cty / 32 hwy,Automatic,Gas,Standard,2.4L Inline-4 Gas,FWD,Personal or Rental Use
2019 Mazda CX-5,Grand Touring FWD,Fair Price,"$23,987 ","36,987","Mesquite, TX",Deep Crystal Blue Mica,Black,0 reported accidents,Clean,25 cty / 31 hwy,Automatic,Gas,Minimal Options,2.5L Inline-4 Gas,FWD,Personal or Rental Use
2016 Jeep Grand Cherokee,Limited 4WD,Fair Price,"$21,590 ","91,540","Oklahoma City, OK",Bright White Clearcoat,Black,0 reported accidents,Clean,18 cty / 25 hwy,Automatic,Gas,Minimal Options,3.6L V-6 Gas,4WD,Personal or Rental Use
